era,cluster_label,count
1999-2007,Bench Big Men,388
1999-2007,Bench Guards,414
1999-2007,Defensive Centres,356
1999-2007,Defensive Guards,456
1999-2007,Floor Spacers,660
1999-2007,High Volume Scorers,438
1999-2007,MVP,152
1999-2007,Two-Way Big Men,525
2008-2015,Bench Big Men,368
2008-2015,Bench Guards,404
2008-2015,Defensive Centres,359
2008-2015,Defensive Guards,410
2008-2015,Floor Spacers,643
2008-2015,High Volume Scorers,499
2008-2015,MVP,152
2008-2015,Two-Way Big Men,367
2016-present,Bench Big Men,364
2016-present,Bench Guards,606
2016-present,Defensive Centres,347
2016-present,Defensive Guards,639
2016-present,Floor Spacers,949
2016-present,High Volume Scorers,716
2016-present,MVP,270
2016-present,Two-Way Big Men,397
