,season,lg,player,player_id,age,team,pos,g,gs,mp,fg_per_100_poss,fga_per_100_poss,fg_percent,x3p_per_100_poss,x3pa_per_100_poss,x3p_percent,x2p_per_100_poss,x2pa_per_100_poss,x2p_percent,e_fg_percent,ft_per_100_poss,fta_per_100_poss,ft_percent,orb_per_100_poss,drb_per_100_poss,trb_per_100_poss,ast_per_100_poss,stl_per_100_poss,blk_per_100_poss,tov_per_100_poss,pf_per_100_poss,pts_per_100_poss,o_rtg,d_rtg
0,2001,NBA,Mahmoud Abdul-Rauf,abdulma02,31,VAN,PG,41,0.0,486,12.9,26.5,0.488,0.4,1.5,0.286,12.5,25.0,0.5,0.496,2.4,3.1,0.759,0.5,2.2,2.7,8.2,1.0,0.1,2.8,5.4,28.7,104.0,111.0
1,1999,NBA,Tariq Abdul-Wahad,abdulta01,24,SAC,SG,49,49.0,1205,7.3,16.9,0.435,0.2,0.9,0.286,7.1,16.0,0.443,0.442,3.9,5.6,0.691,3.0,4.7,7.7,2.1,2.1,0.7,2.9,5.0,18.8,98.0,104.0
2,2000,NBA,Tariq Abdul-Wahad,abdulta01,25,2TM,SG,61,56.0,1578,8.6,20.3,0.424,0.1,0.7,0.13,8.5,19.6,0.435,0.426,4.6,6.1,0.756,3.2,6.0,9.2,3.1,1.9,0.9,3.3,4.6,21.9,98.0,103.0
3,2001,NBA,Tariq Abdul-Wahad,abdulta01,26,DEN,SG,29,12.0,420,5.3,13.7,0.387,0.5,1.2,0.4,4.8,12.5,0.386,0.405,2.6,4.4,0.583,1.7,5.6,7.3,2.7,1.7,1.6,4.2,6.7,13.7,79.0,106.0
4,2002,NBA,Tariq Abdul-Wahad,abdulta01,27,2TM,SG,24,12.0,441,6.6,17.7,0.374,0.1,0.2,0.5,6.5,17.4,0.372,0.378,2.9,4.0,0.727,4.9,5.2,10.1,2.9,2.4,1.2,3.2,6.7,16.2,90.0,107.0
5,2003,NBA,Tariq Abdul-Wahad,abdulta01,28,DAL,SG,14,0.0,204,6.9,14.7,0.466,0.0,0.3,0.0,6.9,14.5,0.474,0.466,0.8,1.5,0.5,3.6,6.6,10.2,5.3,1.5,0.8,1.8,6.6,14.5,106.0,103.0
6,1999,NBA,Shareef Abdur-Rahim,abdursh01,22,VAN,SF,50,50.0,2021,10.3,23.8,0.432,0.3,1.0,0.306,10.0,22.9,0.438,0.438,9.8,11.7,0.841,3.0,6.9,10.0,4.6,1.8,1.5,5.0,3.7,30.7,104.0,107.0
7,2000,NBA,Shareef Abdur-Rahim,abdursh01,23,VAN,SF,82,82.0,3223,9.7,20.9,0.465,0.5,1.6,0.302,9.3,19.3,0.478,0.477,7.3,9.0,0.809,3.6,9.9,13.5,4.4,1.5,1.4,4.1,4.0,27.2,108.0,106.0
8,2001,NBA,Shareef Abdur-Rahim,abdursh01,24,VAN,SF,81,81.0,3241,9.8,20.7,0.472,0.2,1.0,0.188,9.6,19.6,0.487,0.477,7.2,8.6,0.834,2.8,9.0,11.9,4.0,1.5,1.2,3.7,3.8,26.9,106.0,104.0
9,2002,NBA,Shareef Abdur-Rahim,abdursh01,25,ATL,PF,77,77.0,2980,10.5,22.7,0.461,0.4,1.2,0.3,10.1,21.5,0.47,0.469,7.3,9.2,0.801,3.5,8.7,12.2,4.2,1.7,1.4,4.4,3.8,28.7,105.0,105.0
10,2003,NBA,Shareef Abdur-Rahim,abdursh01,26,ATL,PF,81,81.0,3087,9.7,20.2,0.478,0.4,1.0,0.35,9.3,19.2,0.485,0.487,7.8,9.2,0.841,3.0,8.6,11.6,4.1,1.5,0.6,3.6,4.1,27.5,111.0,106.0
11,2004,NBA,Shareef Abdur-Rahim,abdursh01,27,2TM,PF,85,56.0,2684,10.0,21.0,0.475,0.2,0.7,0.265,9.8,20.4,0.482,0.48,7.4,8.6,0.869,3.8,9.0,12.8,3.5,1.4,0.7,3.7,4.4,27.6,110.0,105.0
12,2005,NBA,Shareef Abdur-Rahim,abdursh01,28,POR,PF,54,49.0,1867,9.6,19.2,0.503,0.4,1.1,0.385,9.2,18.1,0.51,0.514,6.3,7.3,0.866,3.5,7.7,11.2,3.2,1.4,0.7,3.3,4.3,26.0,113.0,108.0
13,2006,NBA,Shareef Abdur-Rahim,abdursh01,29,SAC,PF,72,30.0,1961,8.8,16.8,0.525,0.1,0.6,0.227,8.7,16.2,0.536,0.529,5.8,7.4,0.784,2.8,6.7,9.5,4.0,1.3,1.1,2.9,6.0,23.6,115.0,105.0
14,2007,NBA,Shareef Abdur-Rahim,abdursh01,30,SAC,C,80,45.0,2015,7.8,16.4,0.474,0.1,0.5,0.15,7.7,15.9,0.484,0.476,4.3,5.9,0.726,3.1,6.9,10.0,2.7,1.3,1.0,2.9,6.1,19.9,103.0,108.0
15,2008,NBA,Shareef Abdur-Rahim,abdursh01,31,SAC,PF,6,0.0,51,3.0,13.9,0.214,0.0,0.0,,3.0,13.9,0.214,0.214,4.0,4.0,1.0,6.0,4.0,9.9,4.0,1.0,0.0,1.0,8.9,9.9,95.0,114.0
16,2017,NBA,Álex Abrines,abrinal01,23,OKC,SG,68,6.0,1055,6.2,15.9,0.393,4.4,11.5,0.381,1.9,4.4,0.426,0.531,2.0,2.3,0.898,0.8,3.2,4.0,1.9,1.7,0.4,1.5,5.3,18.9,113.0,110.0
17,2018,NBA,Álex Abrines,abrinal01,24,OKC,SG,75,8.0,1134,5.0,12.7,0.395,3.7,9.7,0.38,1.4,3.1,0.443,0.54,1.7,2.0,0.848,1.1,3.9,5.0,1.2,1.7,0.4,1.1,5.4,15.4,116.0,110.0
18,2019,NBA,Álex Abrines,abrinal01,25,OKC,SG,31,2.0,588,4.4,12.5,0.357,3.3,10.1,0.323,1.2,2.4,0.5,0.487,1.0,1.0,0.923,0.4,3.4,3.8,1.6,1.3,0.5,1.1,4.2,13.1,103.0,111.0
19,2021,NBA,Precious Achiuwa,achiupr01,21,MIA,PF,61,4.0,737,8.4,15.4,0.544,0.0,0.1,0.0,8.4,15.3,0.546,0.544,3.8,7.4,0.509,4.9,9.1,14.0,2.0,1.3,1.9,2.9,6.1,20.5,107.0,109.0
