season,lg,player,player_id,age,team,pos,g,gs,mp,fg_per_36_min,fga_per_36_min,fg_percent,x3p_per_36_min,x3pa_per_36_min,x3p_percent,x2p_per_36_min,x2pa_per_36_min,x2p_percent,e_fg_percent,ft_per_36_min,fta_per_36_min,ft_percent,orb_per_36_min,drb_per_36_min,trb_per_36_min,ast_per_36_min,stl_per_36_min,blk_per_36_min,tov_per_36_min,pf_per_36_min,pts_per_36_min
2004,NBA,Shareef Abdur-Rahim,abdursh01,27.0,2TM,PF,85,56.0,2684,6.7,14.1,0.475,0.1,0.5,0.265,6.6,13.7,0.482,0.48,5.0,5.8,0.869,2.5,6.0,8.6,2.3,0.9,0.5,2.5,3.0,18.6
2005,NBA,Shareef Abdur-Rahim,abdursh01,28.0,POR,PF,54,49.0,1867,6.5,12.9,0.503,0.3,0.8,0.385,6.2,12.2,0.51,0.514,4.2,4.9,0.866,2.4,5.2,7.6,2.1,0.9,0.5,2.3,2.9,17.5
2006,NBA,Shareef Abdur-Rahim,abdursh01,29.0,SAC,PF,72,30.0,1961,6.1,11.6,0.525,0.1,0.4,0.227,6.0,11.2,0.536,0.529,4.0,5.1,0.784,1.9,4.6,6.6,2.7,0.9,0.8,2.0,4.2,16.3
2007,NBA,Shareef Abdur-Rahim,abdursh01,30.0,SAC,C,80,45.0,2015,5.5,11.7,0.474,0.1,0.4,0.15,5.5,11.3,0.484,0.476,3.0,4.2,0.726,2.2,4.9,7.1,1.9,0.9,0.7,2.1,4.3,14.2
2008,NBA,Shareef Abdur-Rahim,abdursh01,31.0,SAC,PF,6,0.0,51,2.1,9.9,0.214,0.0,0.0,,2.1,9.9,0.214,0.214,2.8,2.8,1.0,4.2,2.8,7.1,2.8,0.7,0.0,0.7,6.4,7.1
2017,NBA,Álex Abrines,abrinal01,23.0,OKC,SG,68,6.0,1055,4.6,11.6,0.393,3.2,8.4,0.381,1.4,3.2,0.426,0.531,1.5,1.7,0.898,0.6,2.3,2.9,1.4,1.3,0.3,1.1,3.9,13.9
2018,NBA,Álex Abrines,abrinal01,24.0,OKC,SG,75,8.0,1134,3.7,9.2,0.395,2.7,7.0,0.38,1.0,2.2,0.443,0.54,1.2,1.5,0.848,0.8,2.8,3.6,0.9,1.2,0.3,0.8,3.9,11.2
2019,NBA,Álex Abrines,abrinal01,25.0,OKC,SG,31,2.0,588,3.4,9.6,0.357,2.5,7.8,0.323,0.9,1.8,0.5,0.487,0.7,0.8,0.923,0.3,2.6,2.9,1.2,1.0,0.4,0.9,3.2,10.1
2021,NBA,Precious Achiuwa,achiupr01,21.0,MIA,PF,61,4.0,737,6.1,11.1,0.544,0.0,0.0,0.0,6.1,11.1,0.546,0.544,2.7,5.4,0.509,3.6,6.6,10.2,1.4,1.0,1.4,2.1,4.4,14.8
2022,NBA,Precious Achiuwa,achiupr01,22.0,TOR,C,73,28.0,1725,5.5,12.6,0.439,1.2,3.3,0.359,4.4,9.3,0.468,0.486,1.6,2.7,0.595,3.0,6.8,9.9,1.7,0.8,0.9,1.8,3.2,13.9
2023,NBA,Precious Achiuwa,achiupr01,23.0,TOR,C,55,12.0,1140,6.2,12.8,0.485,0.9,3.4,0.269,5.3,9.3,0.564,0.521,2.7,3.9,0.702,3.2,7.2,10.4,1.6,1.0,0.9,1.9,3.2,16.0
