season,team,g,mp,fg_per_100_poss,fga_per_100_poss,fg_percent,x3p_per_100_poss,x3pa_per_100_poss,x3p_percent,x2p_per_100_poss,x2pa_per_100_poss,x2p_percent,ft_per_100_poss,fta_per_100_poss,ft_percent,orb_per_100_poss,drb_per_100_poss,trb_per_100_poss,ast_per_100_poss,stl_per_100_poss,blk_per_100_poss,tov_per_100_poss,pf_per_100_poss,pts_per_100_poss,lg,mov,sos,srs,o_rtg,d_rtg,n_rtg,pace,f_tr,x3p_ar,ts_percent,e_fg_percent,tov_percent,orb_percent,ft_fga,opp_e_fg_percent,opp_tov_percent,drb_percent,opp_ft_fga,era,cluster,cluster_label,team_full,user_id
2025,Atlanta Hawks,82,19780,42.0,89.0,0.472,13.1,36.5,0.358,29.0,52.5,0.552,17.4,22.5,0.775,11.5,31.6,43.1,28.7,9.4,5.0,15.1,18.5,114.6,NBA,-1.13,-0.28,-1.41,114.6,115.7,-1.1,102.6,0.252,0.41,0.579,0.546,13.2,26.3,0.196,0.56,13.8,76.0,0.202,2016-present,3,Fast & Flawed D,Atlanta Hawks,Atlanta Hawks_2025
2025,Boston Celtics,82,19830,43.2,93.3,0.462,18.4,50.0,0.368,24.7,43.3,0.571,15.8,19.8,0.799,11.8,35.2,47.0,27.1,7.4,5.7,12.3,16.5,120.6,NBA,9.11,-0.83,8.28,120.6,111.1,9.5,95.7,0.212,0.536,0.591,0.561,10.8,25.7,0.169,0.522,11.6,76.0,0.154,2016-present,1,Pace & Space,Boston Celtics,Boston Celtics_2025
2025,Brooklyn Nets,82,19780,38.8,88.8,0.437,14.0,40.7,0.344,24.8,48.2,0.515,16.8,21.3,0.787,11.3,31.4,42.6,26.0,8.0,4.4,15.7,21.4,108.5,NBA,-7.11,0.16,-6.95,108.5,115.8,-7.3,96.4,0.24,0.458,0.552,0.516,13.7,24.5,0.189,0.557,13.7,75.0,0.218,2016-present,2,Rebuilder,Brooklyn Nets,Brooklyn Nets_2025
2025,Chicago Bulls,82,19755,41.9,89.1,0.47,15.0,40.7,0.367,26.9,48.4,0.556,15.5,19.1,0.809,9.7,34.7,44.4,28.2,7.3,4.6,14.2,17.1,114.1,NBA,-1.56,-0.27,-1.83,114.1,115.6,-1.5,102.8,0.214,0.457,0.585,0.553,12.7,22.3,0.173,0.539,10.8,76.6,0.178,2016-present,1,Pace & Space,Chicago Bulls,Chicago Bulls_2025
2025,Charlotte Hornets,82,19755,39.1,91.0,0.43,13.3,39.1,0.339,25.9,51.8,0.499,15.8,20.2,0.783,12.5,33.6,46.1,24.8,7.6,4.6,15.8,19.1,107.3,NBA,-9.11,0.01,-9.1,107.3,116.6,-9.3,97.6,0.222,0.43,0.537,0.503,13.7,26.5,0.174,0.547,11.9,74.5,0.19,2016-present,2,Rebuilder,Charlotte Hornets,Charlotte Hornets_2025
2025,Cleveland Cavaliers,82,19755,44.5,90.6,0.491,15.9,41.4,0.383,28.6,49.2,0.581,16.9,21.8,0.776,11.2,34.2,45.3,28.0,8.2,4.3,13.2,18.1,121.7,NBA,9.54,-0.73,8.81,121.7,112.2,9.5,99.8,0.241,0.457,0.607,0.578,11.6,25.9,0.187,0.528,12.6,74.8,0.181,2016-present,1,Pace & Space,Cleveland Cavaliers,Cleveland Cavaliers_2025
2025,Dallas Mavericks,82,19730,42.2,88.2,0.479,12.5,34.3,0.364,29.7,53.9,0.552,17.9,23.2,0.77,10.2,33.1,43.3,25.4,7.8,5.5,14.1,17.9,114.8,NBA,-1.2,0.46,-0.74,114.8,116.0,-1.2,99.2,0.263,0.389,0.583,0.549,12.5,23.3,0.203,0.54,11.6,73.1,0.179,2016-present,3,Fast & Flawed D,Dallas Mavericks,Dallas Mavericks_2025
2025,Denver Nuggets,82,19855,45.1,89.1,0.506,11.9,31.7,0.376,33.2,57.4,0.578,17.8,23.1,0.77,11.1,34.3,45.4,30.8,7.9,4.9,14.2,17.5,119.9,NBA,3.89,0.08,3.97,119.9,116.0,3.9,99.8,0.259,0.356,0.604,0.573,12.5,26.7,0.2,0.542,11.3,74.6,0.173,2016-present,1,Pace & Space,Denver Nuggets,Denver Nuggets_2025
2025,Detroit Pistons,82,19805,42.5,89.4,0.476,12.8,35.2,0.362,29.8,54.2,0.55,17.2,22.2,0.774,11.3,33.3,44.6,26.3,7.9,5.2,14.8,20.6,115.0,NBA,1.9,-0.17,1.73,115.0,113.1,1.9,99.8,0.248,0.394,0.58,0.547,13.0,26.2,0.192,0.539,13.3,76.0,0.214,2016-present,3,Fast & Flawed D,Detroit Pistons,Detroit Pistons_2025
2025,Golden State Warriors,82,19730,41.2,91.4,0.451,15.6,42.8,0.364,25.6,48.5,0.528,17.0,22.3,0.764,12.7,33.2,45.9,29.4,9.5,4.8,14.2,19.4,115.0,NBA,3.3,0.25,3.56,115.0,111.7,3.3,98.7,0.244,0.469,0.568,0.536,12.3,27.3,0.187,0.541,14.1,75.6,0.189,2016-present,3,Fast & Flawed D,Golden State Warriors,Golden State Warriors_2025
